Announcement_Date,Ex_Date,Dividend_Type,Dividend_Amount,Company_Name,Ticker,
1/7/2015,1/22/2015,Interim,5,Wipro Limited,WIPRO.NS,
1/9/2015,1/28/2015,Interim,6,Bharat Electronics Limited,BEL.NS,
1/9/2015,2/4/2015,Interim,8,HCL Technologies Limited,HCLTECH.NS,
1/15/2015,1/27/2015,Interim,5,Tata Consultancy Services Limited,TCS.NS,
1/20/2015,2/4/2015,Interim,0.75,NTPC Limited,NTPC.NS,
2/13/2015,5/19/2015,Final,12.5,Nestlé India Limited,NESTLEIND.NS,
2/16/2015,3/11/2015,Final,50,Eicher Motors Limited,EICHERMOT.NS,
2/20/2015,3/3/2015,Interim,20.7,Coal India Limited,COALINDIA.NS,
2/23/2015,3/9/2015,Interim,0.69,Power Grid Corporation of India Limited,POWERGRID.NS,
2/24/2015,3/24/2015,Interim,4,Oil and Natural Gas Corporation Limited,ONGC.NS,
4/1/2015,4/24/2015,Interim,4,HCL Technologies Limited,HCLTECH.NS,
4/16/2015,8/7/2015,Final,4,IndusInd Bank Limited,INDUSINDBK.NS,
4/16/2015,6/5/2015,Final,24,Tata Consultancy Services Limited,TCS.NS,
4/17/2015,5/8/2015,Final,10,Reliance Industries Limited,RELIANCE.NS,
4/21/2015,7/20/2015,Final,7,Wipro Limited,WIPRO.NS,
4/23/2015,7/2/2015,Final,8,HDFC Bank Limited,HDFCBANK.NS,
4/24/2015,6/15/2015,Final,29.5,Infosys Limited,INFY.NS,
4/27/2015,6/4/2015,Final,5,ICICI Bank Limited,ICICIBANK.NS,
4/27/2015,8/26/2015,Final,25,Maruti Suzuki India Limited,MARUTI.NS,
4/27/2015,8/14/2015,Final,9,UltraTech Cement Limited,ULTRACEMCO.NS,
4/28/2015,8/13/2015,Final,2.22,Bharti Airtel Limited,BHARTIARTL.NS,
4/29/2015,7/9/2015,Final,4.6,Axis Bank Limited ,AXISBANK.NS,
4/30/2015,7/22/2015,Final,6,Shriram Finance Limited,SHRIRAMFIN.NS,
5/4/2015,5/22/2015,Final,1.1,Adani Ports and Special Economic Zone Limited,ADANIPORTS.NS,
5/4/2015,9/3/2015,Final,18,Grasim Industries Limited,GRASIM.NS,
5/4/2015,5/19/2015,Interim,14,Nestlé India Limited,NESTLEIND.NS,
5/5/2015,6/18/2015,Final,0.9,Kotak Mahindra Bank Limited,KOTAKBANK.NS,
5/7/2015,6/1/2015,Final,30,Hero MotoCorp Limited,HEROMOTOCO.NS,
5/7/2015,7/17/2015,Final,2.3,Titan Company Limited,TITAN.NS,
5/8/2015,6/19/2015,Final,9,Hindustan Unilever Limited,HINDUNILVR.NS,
5/12/2015,7/10/2015,Final,20,Dr. Reddy's Laboratories Limited,DRREDDY.NS,
5/13/2015,7/31/2015,Final,1.4,Adani Enterprises Limited,ADANIENT.NS,
5/15/2015,7/6/2015,Final,11,JSW Steel Limited,JSWSTEEL.NS,
5/18/2015,6/24/2015,Final,4.3,Asian Paints Limited,ASIANPAINT.NS,
5/20/2015,7/9/2015,Final,18,Bajaj Finance Limited,BAJFINANCE.NS,
5/20/2015,7/9/2015,Final,1.75,Bajaj Finserv Ltd. ,BAJAJFINSV.NS,
5/20/2015,7/23/2015,Final,8,Tata Steel Limited,TATASTEEL.NS,
5/21/2015,7/9/2015,Final,50,Bajaj Auto Limited,BAJAJ-AUTO.NS,
5/22/2015,6/3/2015,Final,6.25,ITC Limited,ITC.NS,
5/22/2015,5/28/2015,Final,3.5,State Bank of India,SBIN.NS,
5/26/2015,7/23/2015,Final,6,Tech Mahindra Limited,TECHM.NS,
5/27/2015,7/27/2015,Final,10,Trent Limited,TRENT.NS,
5/28/2015,7/30/2015,Final,5.75,Apollo Hospitals Enterprise Limited,APOLLOHOSP.NS,
5/28/2015,9/7/2015,Final,1,Hindalco Industries Limited,HINDALCO.NS,
5/28/2015,9/7/2015,Final,0.5,Oil and Natural Gas Corporation Limited,ONGC.NS,
5/28/2015,7/30/2015,Final,2.25,Tata Consumer Products Limited,TATACONSUM.NS,
5/29/2015,8/10/2015,Final,23.2,Bharat Electronics Limited,BEL.NS,
5/29/2015,8/11/2015,Final,2,Cipla Limited,CIPLA.NS,
5/29/2015,7/16/2015,Final,12,Mahindra & Mahindra Limited,M&M.NS,
5/29/2015,9/3/2015,Final,1.75,NTPC Limited,NTPC.NS,
6/1/2015,9/1/2015,Final,16.25,Larsen & Toubro Limited,LT.NS,
6/1/2015,9/7/2015,Final,1.31,Power Grid Corporation of India Limited,POWERGRID.NS,
7/8/2015,7/20/2015,Interim,5.5,Tata Consultancy Services Limited,TCS.NS,
7/21/2015,8/7/2015,Interim,5,HCL Technologies Limited,HCLTECH.NS,
8/11/2015,10/21/2015,Final,3,Sun Pharmaceutical Industries Limited,SUNPHARMA.NS,
9/15/2015,10/16/2015,Interim,10,Infosys Limited,INFY.NS,
10/1/2015,10/28/2015,Interim,2.2,Asian Paints Limited,ASIANPAINT.NS,
10/1/2015,10/23/2015,Interim,5,HCL Technologies Limited,HCLTECH.NS,
10/5/2015,10/19/2015,Interim,6.5,Hindustan Unilever Limited,HINDUNILVR.NS,
10/13/2015,10/23/2015,Interim,5.5,Tata Consultancy Services Limited,TCS.NS,
10/16/2015,11/5/2015,Interim,4,Shriram Finance Limited,SHRIRAMFIN.NS,
10/28/2015,11/10/2015,Interim,4.5,Oil and Natural Gas Corporation Limited,ONGC.NS,
11/27/2015,12/11/2015,Interim,16,Nestlé India Limited,NESTLEIND.NS,
1/6/2016,1/27/2016,Interim,6,HCL Technologies Limited,HCLTECH.NS,
1/6/2016,1/25/2016,Interim,5,Wipro Limited,WIPRO.NS,
1/7/2016,2/4/2016,Interim,2.5,Bharat Electronics Limited,BEL.NS,
1/12/2016,1/21/2016,Interim,5.5,Tata Consultancy Services Limited,TCS.NS,
1/18/2016,2/5/2016,Interim,1.6,NTPC Limited,NTPC.NS,
1/18/2016,2/3/2016,Interim,0.8,Power Grid Corporation of India Limited,POWERGRID.NS,
2/12/2016,5/18/2016,Final,18.5,Nestlé India Limited,NESTLEIND.NS,
2/26/2016,3/14/2016,Interim,27.4,Coal India Limited,COALINDIA.NS,
3/2/2016,3/16/2016,Interim,50,Bajaj Auto Limited,BAJAJ-AUTO.NS,
3/2/2016,3/16/2016,Interim,18,Bajaj Finance Limited,BAJFINANCE.NS,
3/2/2016,3/16/2016,Interim,1.75,Bajaj Finserv Ltd. ,BAJAJFINSV.NS,
3/3/2016,3/16/2016,Interim,0.75,Oil and Natural Gas Corporation Limited,ONGC.NS,
3/4/2016,3/22/2016,Interim,6,Apollo Hospitals Enterprise Limited,APOLLOHOSP.NS,
3/8/2016,3/17/2016,Interim,10.5,Reliance Industries Limited,RELIANCE.NS,
3/9/2016,3/22/2016,Interim,0.4,Adani Enterprises Limited,ADANIENT.NS,
3/9/2016,3/22/2016,Interim,1.1,Adani Ports and Special Economic Zone Limited,ADANIPORTS.NS,
3/9/2016,3/22/2016,Interim,2.2,Titan Company Limited,TITAN.NS,
3/9/2016,3/17/2016,Interim,9,Trent Limited,TRENT.NS,
3/10/2016,3/21/2016,Interim,40,Hero MotoCorp Limited,HEROMOTOCO.NS,
3/14/2016,3/22/2016,Interim,100,Eicher Motors Limited,EICHERMOT.NS,
4/15/2016,6/9/2016,Final,14.25,Infosys Limited,INFY.NS,
