Company_Name,Ticker,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
Adani Enterprises Limited,ADANIENT.NS,10.04,21.88,14.32,46.86,27.46,4.02,4.99,4.4,3.16,2.28,6.59
Adani Ports and Special Economic Zone Limited,ADANIPORTS.NS,8.44,9.93,4.78,6.19,6.6,2.59,3.85,4.05,4.21,3.78,5.69
Apollo Hospitals Enterprise Limited,APOLLOHOSP.NS,11.6,13.17,10,11.55,9.07,4.74,5.1,4.56,4.9,5.53,5.99
Asian Paints Limited,ASIANPAINT.NS,11.56,14.58,16.56,21.4,19,15.78,15.11,12.78,13.51,12.77,16.36
Axis Bank Limited ,AXISBANK.NS,1.83,2.06,2.04,1.98,2.07,1.24,2.96,2.05,2.08,1.98,2.95
Bajaj Auto Limited,BAJAJ-AUTO.NS,6.25,8.82,3.74,3.54,3.9,2.7,3.63,3.89,4.55,4.97,5.26
Bajaj Finance Limited,BAJAJFINSV.NS,5.75,5.83,6.24,10.02,8.39,4.11,8.86,6.15,6.69,5,4.27
Bajaj Finserv Ltd. ,BAJFINANCE.NS,38.24,39.89,38.43,62.12,40.48,20.66,35.42,28.62,23.52,10.06,8.64
Bharat Electronics Limited,BEL.NS,11.02,9.02,5.14,4.18,2.76,1.8,2.47,4.32,4.51,3.17,3.3
Bharti Airtel Limited,BHARTIARTL.NS,7.65,7,4.68,6.34,4.82,3.12,1.86,2.29,2.07,2.1,3.96
Cipla Limited,CIPLA.NS,3.73,4.52,3.11,3.94,3.59,2.16,2.84,3.07,3.8,3.57,5.3
Coal India Limited,COALINDIA.NS,2.48,3.23,2.3,2.61,2.2,2.68,5.52,8.87,7.41,5.29,5.67
Dr. Reddy's Laboratories Limited,DRREDDY.NS,2.84,3.63,3.31,3.73,4.26,3.32,3.28,2.75,3.56,4.12,6.03
Eicher Motors Limited,EICHERMOT.NS,6.89,6.1,5.38,5.34,6.22,3.58,6.28,10.99,13.01,14.23,0
Grasim Industries Limited,GRASIM.NS,1.82,1.71,1.37,1.45,1.46,0.55,1.01,1.21,1.56,1.31,1.44
HCL Technologies Limited,HCLTECH.NS,6.2,6.14,4.51,5.1,4.46,2.31,3.56,3.7,3.78,4.19,5.35
HDFC Bank Limited,HDFCBANK.NS,2.79,2.5,3.21,3.4,4.04,2.76,4.23,4.62,4.13,3.73,4.13
HDFC Life Insurance Company Limited,HDFCLIFE.NS,9.14,9.28,8.26,7.28,12.56,13.11,13.53,19.27,0,0,0
Hero MotoCorp Limited,HEROMOTOCO.NS,3.86,5.33,2.82,2.9,3.78,2.21,3.89,5.91,6.24,6.65,8.07
Hindalco Industries Limited,HINDALCO.NS,1.22,1.17,0.95,1.62,1.09,0.36,0.79,0.87,0.94,0.44,0.7
Hindustan Unilever Limited,HINDUNILVR.NS,10.75,10.41,11.95,9.81,11.98,60.32,46.89,39.63,29.14,28.57,46.97
ICICI Bank Limited,ICICIBANK.NS,3.1,3.04,2.9,2.84,2.6,1.75,2.31,1.66,1.59,1.51,2.16
IndusInd Bank Limited,INDUSINDBK.NS,0.78,1.92,1.52,1.52,1.71,0.71,4.07,4.59,4.16,3.32,4.41
Infosys Limited,INFY.NS,6.8,7.05,7.83,10.62,7.61,4.15,4.96,3.8,3.39,4.51,0
ITC Limited,ITC.NS,7.32,7.18,6.89,4.95,4.46,3.24,6.15,5.95,7.34,6.19,8.24
JSW Steel Limited,JSWSTEEL.NS,4.08,3.26,3.15,3.28,3.02,1.2,2.53,3.11,2.49,2.03,1.23
Kotak Mahindra Bank Limited,KOTAKBANK.NS,2.74,2.73,3.08,3.6,4.12,3.72,4.41,3.96,4.17,3.74,4.58
Larsen & Toubro Limited,LT.NS,4.92,6.01,3.41,3.01,2.63,1.7,3.12,3.31,2.94,2.56,3.91
Mahindra & Mahindra Limited,M&M.NS,3.86,3.24,2.29,1.9,2.12,0.79,1.83,2.19,2.34,2.47,2.72
Maruti Suzuki India Limited,MARUTI.NS,3.76,4.63,4.05,4.13,3.95,2.62,4.28,6.29,4.91,3.67,4.59
Nestlé India Limited,NESTLEIND.NS,54.12,75.71,82.44,76.33,96.62,86.86,74.27,28.75,21.84,17.43,18.23
NTPC Limited,NTPC.NS,1.88,2.03,1.16,0.97,0.82,0.7,1.2,1.35,1.4,1.16,1.48
Oil and Natural Gas Corporation Limited,ONGC.NS,0.9,1,0.68,0.79,0.58,0.42,0.92,1.12,1.22,0.93,1.45
Power Grid Corporation of India Limited,POWERGRID.NS,2.92,2.96,1.9,1.98,1.61,1.29,1.75,1.86,2.07,1.66,1.98
Reliance Industries Limited,RELIANCE.NS,2.05,2.54,2.2,2.29,1.84,1.57,2.09,1.78,1.49,1.34,1.12
SBI Life Insurance Company Limited,SBILIFE.NS,9.13,10.08,8.47,9.65,8.47,7.33,7.7,10.39,0,0,0
Shriram Finance Limited,SBIN.NS,2.18,1.81,1.08,1.18,1.66,0.83,1.81,2.39,2.16,2.13,2.73
State Bank of India,SHRIRAMFIN.NS,1.42,1.62,1.31,1.45,1.19,0.7,1.23,0.98,1.08,0.84,1.24
Sun Pharmaceutical Industries Limited,SUNPHARMA.NS,5.77,6.11,4.21,4.57,3.09,1.87,2.78,3.12,4.5,5.98,8.28
Tata Consultancy Services Limited,TATACONSUM.NS,13.77,15.54,12.98,15.35,13.6,8.13,8.39,6.39,5.56,6.97,9.85
Tata Consumer Products Limited,TATAMOTORS.NS,4.96,6.5,4.06,4.74,4.05,1.97,1.75,2.32,1.51,1.23,1.69
Tata Motors Limited,TATASTEEL.NS,2.14,4.48,3.55,3.73,2.09,0.41,0.98,1.17,2.73,1.66,3.15
Tata Steel Limited,TCS.NS,2.11,2.11,1.24,1.39,1.32,0.43,0.89,1.12,1.32,0.75,0.98
Tech Mahindra Limited,TECHM.NS,4.59,4.14,3.47,4.89,3.48,2.26,3.4,2.99,2.45,2.84,4.94
Titan Company Limited,TITAN.NS,23.46,36.05,18.89,24.26,18.49,12.43,16.64,16.42,9.68,8.58,11.29
Trent Limited,TRENT.NS,34.57,34.51,18.83,19.19,11.55,7.13,7.26,7.21,5.7,3.6,3.43
UltraTech Cement Limited,ULTRACEMCO.NS,4.79,4.67,4.05,3.78,4.4,2.41,3.87,4.11,4.49,4.04,4.14
Wipro Limited,WIPRO.NS,3.33,3.37,2.58,4.96,4.13,2.03,2.72,2.66,2.42,3.02,4.18
