Company_Name,Ticker,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
Adani Enterprises Limited,ADANIENT.NS,1.6,1.42,1.2,1.9,0.89,0.69,0.67,1.12,1.4,1.35,2.91
Adani Ports and Special Economic Zone Limited,ADANIPORTS.NS,0.73,0.87,1.09,1.19,1.13,1.09,1.07,1.01,1.2,1.4,1.41
Apollo Hospitals Enterprise Limited,APOLLOHOSP.NS,0.64,0.46,0.44,0.47,0.54,1,1.04,1.02,0.91,0.79,0.57
Asian Paints Limited,ASIANPAINT.NS,0.04,0.06,0.06,0.06,0.03,0.03,0.07,0.06,0.07,0.05,0.09
Axis Bank Limited ,AXISBANK.NS,1.2076,1.4913,1.6574,1.7573,1.535,1.8376,2.431,2.5,2.0624,2.1921,1.9637
Bajaj Auto Limited,BAJAJ-AUTO.NS,0.26,0.06,0,0,0,0,0,0,0,0,0.01
Bajaj Finance Limited,BAJAJFINSV.NS,3.74,3.82,3.99,3.78,3.57,4.02,5.16,3.42,4.38,4.99,4.71
Bajaj Finserv Ltd. ,BAJFINANCE.NS,4.89,4.77,4.56,3.99,3.57,4.04,4.2,3.21,2.99,2.65,2.01
Bharat Electronics Limited,BEL.NS,0,0,0,0,0,0,0,0.01,0,0,0
Bharti Airtel Limited,BHARTIARTL.NS,1.13,1.5,1.82,2,2.2,1.52,1.69,1.41,1.52,1.5,1.76
Cipla Limited,CIPLA.NS,0,0.01,0.02,0.04,0.08,0.18,0.29,0.29,0.33,0.45,0.16
Coal India Limited,COALINDIA.NS,0,0,0,0,0,0,0,0,0,0,0
Dr. Reddy's Laboratories Limited,DRREDDY.NS,0.12,0.06,0.05,0.16,0.15,0.11,0.24,0.4,0.4,0.27,0.37
Eicher Motors Limited,EICHERMOT.NS,0.01,0.02,0.01,0,0.01,0.01,0.02,0.02,0.02,0.01,0
Grasim Industries Limited,GRASIM.NS,1.88,1.52,1.29,0.96,0.95,1.25,1.31,1.07,0.25,0.33,0.41
HCL Technologies Limited,HCLTECH.NS,0.03,0.03,0.03,0.06,0.06,0.09,0.09,0.01,0.01,0.03,0.02
HDFC Bank Limited,HDFCBANK.NS,1.2046,1.5849,0.9244,0.9678,0.9034,1.0988,1.0687,1.4976,1.2497,1.4915,1.0355
HDFC Life Insurance Company Limited,HDFCLIFE.NS,0.18,0.06,0.07,0.04,0.05,0,0,0,0,0,0
Hero MotoCorp Limited,HEROMOTOCO.NS,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.03,0.02
Hindalco Industries Limited,HINDALCO.NS,0.5,0.51,0.62,0.81,0.98,1.15,0.91,0.93,1.27,1.65,1.75
Hindustan Unilever Limited,HINDUNILVR.NS,0,0,0,0,0,0,0.01,0,0.04,0.03,0.01
ICICI Bank Limited,ICICIBANK.NS,0.6931,0.8156,0.9163,0.9289,0.9376,1.6922,1.8119,2.0294,1.7954,2.3107,2.483
IndusInd Bank Limited,INDUSINDBK.NS,0.849,0.7753,0.9118,1.0029,1.195,1.7621,1.7947,1.6339,1.1165,1.4418,1.9703
Infosys Limited,INFY.NS,0,0,0,0,0,0,0,0,0,0,0
ITC Limited,ITC.NS,0,0,0,0,0,0,0,0,0,0,0.01
JSW Steel Limited,JSWSTEEL.NS,1.21,1.1,1.2,1.04,1.11,1.45,1.03,1.21,1.65,1.96,1.57
Kotak Mahindra Bank Limited,KOTAKBANK.NS,0,0,0,0,0,0,0,0,0,0,0
Larsen & Toubro Limited,LT.NS,1.33,1.32,1.33,1.5,1.73,2.09,2.02,1.66,1.68,1.99,2.01
Mahindra & Mahindra Limited,M&M.NS,1.57,1.56,1.57,1.58,1.43,1.56,1.35,1.23,1.35,1.16,1.14
Maruti Suzuki India Limited,MARUTI.NS,0,0,0.02,0.01,0.01,0,0,0,0.01,0,0.01
Nestlé India Limited,NESTLEIND.NS,0.29,0.1027,0.1099,0.1092,0.1355,0.0722,0.0984,0.0479,0.0103,0.0101,0.0058
NTPC Limited,NTPC.NS,1.34,1.46,1.5,1.55,1.57,1.62,1.48,1.19,1.1,1.01,1.15
Oil and Natural Gas Corporation Limited,ONGC.NS,0.45,0.36,0.46,0.42,0.5,0.51,0.47,0.5,0.38,0.23,0.29
Power Grid Corporation of India Limited,POWERGRID.NS,1.41,1.42,1.52,1.77,1.87,2.14,2.3,2.27,2.26,2.33,2.39
Reliance Industries Limited,RELIANCE.NS,0.41,0.41,0.44,0.34,0.32,0.65,0.7,0.62,0.7,0.72,0.68
SBI Life Insurance Company Limited,SBILIFE.NS,0,0,0,0,0,0,0,0,0,0,0
Shriram Finance Limited,SBIN.NS,4.15,3.99,3.77,4.39,4.89,5.2,5.51,6,3.41,3.3,3.86
State Bank of India,SHRIRAMFIN.NS,1.2648,1.5242,1.4763,1.5242,1.5838,1.3897,1.8199,1.6847,1.6426,2.059,1.6154
Sun Pharmaceutical Industries Limited,SUNPHARMA.NS,0.03,0.04,0.11,0.02,0.07,0.17,0.24,0.26,0.22,0.25,0.3
Tata Consultancy Services Limited,TATACONSUM.NS,0,0,0,0,0,0,0,0,0,0,0.01
Tata Consumer Products Limited,TATAMOTORS.NS,0.09,0.18,0.07,0.07,0.05,0.09,0.15,0.15,0.12,0.15,0.23
Tata Motors Limited,TATASTEEL.NS,0.54,1.16,2.77,3.13,2.08,1.58,1.51,0.82,1.28,0.78,1.23
Tata Steel Limited,TCS.NS,0.98,0.89,0.76,0.6,1.1,1.59,1.37,1.51,2.32,1.94,2.21
Tech Mahindra Limited,TECHM.NS,0.02,0.06,0.06,0.06,0.07,0.11,0.07,0.09,0.07,0.07,0.06
Titan Company Limited,TITAN.NS,1.56,1.4,0.63,0.06,0.58,0.35,0.39,0.33,0.44,0.03,0.03
Trent Limited,TRENT.NS,0.09,0.12,0.19,0.21,0,0.13,0.24,0.25,0.19,0.07,0.08
UltraTech Cement Limited,ULTRACEMCO.NS,0.33,0.17,0.18,0.2,0.4,0.55,0.86,0.71,0.31,0.34,0.4
Wipro Limited,WIPRO.NS,0.2,0.19,0.19,0.23,0.12,0.11,0.17,0.26,0.26,0.26,0.21
